case,sample,wall_time,ros_time,point_count,min_x,max_x,min_y,max_y,final_linear_x,final_linear_y,final_angular_z,odom_x,odom_y,odom_yaw
forward,15,102535.253113396,270.434,1008,-0.38536347947890615,0.3513952694572934,-0.18271786514385194,0.16362611153011092,0.15,0.0,0.0,0.04821380328061903,0.2995048191927042,0.6879051618225157
forward,16,102535.355135731,270.53900000000004,1008,-0.39357776137333556,0.35386212219313623,-0.16756840773482984,0.1676043306913826,0.15,0.0,0.0,0.06477307882190089,0.3021990995243602,0.6957120022551659
forward,17,102535.454977827,270.634,1008,-0.3841989229359034,0.3532340131852252,-0.16572205526838418,0.18571812112690156,0.15,0.0,0.0,0.07780228768495329,0.30342549071773567,0.7234704723238519
forward,18,102535.558807716,270.73400000000004,1008,-0.3988167944196107,0.351922307714902,-0.16445432582525107,0.1687301526326465,0.15,0.0,0.0,0.07772590453139235,0.31008759283594645,0.7248074505183995
forward,19,102535.658431608,270.834,1008,-0.3846932647777102,0.34961922285074887,-0.18072516354580817,0.16517296940329623,0.15,0.0,0.0,0.08142821785350474,0.3258889995230439,0.736705663039421
forward,20,102535.748773742,270.92400000000004,1008,-0.3825048706843241,0.3518383283839931,-0.18555496588450382,0.1637759107829136,0.15,0.0,0.0,0.08052906266476138,0.3337697992316025,0.7226498554137568
forward,21,102535.852882648,271.029,1008,-0.39717372222969893,0.3507726238434857,-0.16667062518046016,0.16314802850889454,0.15,0.0,0.0,0.09619652886965611,0.33600616668442007,0.7172640110258134
forward,22,102535.954381502,271.124,1008,-0.38105692609277464,0.35132023288157316,-0.16417498127934252,0.18720603067002195,0.15,0.0,0.0,0.11326382423161548,0.336429777198466,0.7177974302506099
forward,23,102536.055773675,271.22900000000004,1008,-0.39671261428950866,0.35183091914738385,-0.16362286905316,0.16836317831277223,0.15,0.0,0.0,0.11728580300119626,0.34491226130706937,0.7393521058141962
forward,24,102536.1485662,271.319,1008,-0.3900872892409926,0.3508722964824607,-0.17820635924902367,0.1646167578286747,0.15,0.0,0.0,0.12317635878278355,0.36389405780739464,0.7489656160768045
forward,25,102536.250366774,271.41900000000004,1008,-0.38385166702393825,0.35179282721138294,-0.1778515948123478,0.16783302799975786,0.15,0.0,0.0,0.12605256464440412,0.3714131613545379,0.7186865692258343
forward,26,102536.354169481,271.519,1008,-0.39839877272426844,0.3514369903646237,-0.16655079727521951,0.16444271588166107,0.15,0.0,0.0,0.14080214123974566,0.37555252741656314,0.7161936920444619
forward,27,102536.453445025,271.619,1008,-0.38109044635869893,0.3510117164215457,-0.1643667904430846,0.18570330993732723,0.15,0.0,0.0,0.15590120850310435,0.3761911496777512,0.7326940646734701
forward,28,102536.554098861,271.719,1008,-0.39345144426783796,0.35194654644298445,-0.16398264787463743,0.16738924579060438,0.15,0.0,0.0,0.15776354446538185,0.3844432598473618,0.7547029774749229
forward,29,102536.65537871,271.819,1008,-0.3906924398292648,0.3507530234067926,-0.17884284935923722,0.16481003048579704,0.15,0.0,0.0,0.16161640469024488,0.4019465945459381,0.7653904577891739
forward,30,102536.757806007,271.91900000000004,1008,-0.3821696164106977,0.35159194710107394,-0.18275517866462085,0.16389924366463865,0.15,0.0,0.0,0.16305600967542766,0.4083743085992951,0.7297584628763583
forward,31,102536.85611877,272.019,1008,-0.3990744476232432,0.3530114586652965,-0.1726033976348753,0.16288729621708548,0.15,0.0,0.0,0.17794897018616465,0.4136419144794059,0.7333179336468747
forward,32,102536.958609917,272.119,1008,-0.38094257875660015,0.3513066905268887,-0.16446408020834163,0.18567838499807507,0.15,0.0,0.0,0.1936298814155508,0.4156963258880906,0.7437022198300489
forward,33,102537.049281663,272.209,1008,-0.3926498466502272,0.35228142027220016,-0.16384578306003716,0.16875006626756475,0.15,0.0,0.0,0.19523891503000076,0.42028256633543953,0.7631200228492584
forward,34,102537.153445651,272.314,1008,-0.39068254496811944,0.3504580163598093,-0.17654620192051332,0.1646545044459524,0.15,0.0,0.0,0.20047852975277425,0.4372834322290829,0.7688803827183376
forward,35,102537.254788358,272.41400000000004,1008,-0.3824012214409763,0.3516663914932993,-0.18993570579220573,0.1637948653328242,0.15,0.0,0.0,0.20025416370037416,0.4491760663645178,0.7470131137950536
forward,36,102537.354427387,272.514,1008,-0.3993370617515405,0.3514165632516663,-0.16905312191815594,0.1626361237505197,0.15,0.0,0.0,0.21144048840621332,0.45106104950684883,0.7315096295689852
forward,37,102537.455702476,272.61400000000003,1008,-0.3828855166846621,0.35138343787877957,-0.1644577885005659,0.1825951398674898,0.15,0.0,0.0,0.22802116646458048,0.45317961029073667,0.7383698564342277
forward,38,102537.55737732,272.714,1008,-0.3913325611299089,0.35212836688357374,-0.1632475061101254,0.16877830024873164,0.15,0.0,0.0,0.2314435888824457,0.4570773387680933,0.7699208831014193
forward,39,102537.658366818,272.814,1008,-0.3910044962579245,0.3503983214542705,-0.17462024691130357,0.16436200055241396,0.15,0.0,0.0,0.2369450947247207,0.4729547695469464,0.7708661410760786
forward,40,102537.75105399,272.904,1008,-0.3820091746566928,0.3516434576224514,-0.189634107272618,0.16374053153824888,0.15,0.0,0.0,0.23720371856993056,0.48435870558887295,0.7505473064444513
forward,41,102537.856310861,273.004,1008,-0.3987277315324899,0.35127445129340096,-0.16892143866758613,0.16243405213292306,0.15,0.0,0.0,0.24936018444745564,0.4867003058617824,0.7381304750457766
forward,42,102537.949185177,273.094,1008,-0.38387910304389494,0.3501383922272735,-0.16527637032567954,0.18513193644770004,0.15,0.0,0.0,0.2632660935981907,0.48894093818136114,0.727708835695839
forward,43,102538.051764138,273.199,1008,-0.3869711745718292,0.3517834828649549,-0.16284134503326578,0.17829863545811844,0.15,0.0,0.0,0.2689506630362622,0.4906302755617793,0.7483128023678182
