case,sample,wall_time,ros_time,link,tx,ty,tz,qx,qy,qz,qw
stand,5,102527.950166355,263.23400000000004,imu_link,-2.873935309954522e-07,2.8092853316360302e-08,0.20783343211708757,0.00035967616044470994,-9.459908237951053e-05,-5.751927774752102e-07,0.9999999308418688
stand,5,102527.950166355,263.23400000000004,rf_hip_link,0.19339958935878282,-0.04650028913681902,0.20805414749066112,-0.010626107520417444,-0.0003401020981969241,-4.439641078281754e-06,0.9999434834778499
stand,5,102527.950166355,263.23400000000004,rf_upper_leg_link,0.19339805116862174,-0.14197872252829652,0.21008361903349154,-0.009289373814431533,0.4848708722058921,-0.005159623521308401,0.8745211964872844
stand,5,102527.950166355,263.23400000000004,rf_lower_leg_link,0.01274091476928833,-0.14437369586840032,0.097272878539987,-0.009057813509206923,-0.5234884272227533,0.005556095317605134,0.8519665206938017
stand,5,102527.950166355,263.23400000000004,rf_foot_link,0.20275605922618598,-0.14642207523167985,0.0010489261216395374,-0.009057813509206923,-0.5234884272227533,0.005556095317605134,0.8519665206938017
stand,5,102527.950166355,263.23400000000004,lf_hip_link,0.19339974903712814,0.04649971042382059,0.20804510893241732,0.011412173948659185,-0.0003401173429189426,3.0562487812054193e-06,0.9999348211741693
stand,5,102527.950166355,263.23400000000004,lf_upper_leg_link,0.19339842396930712,0.1419748350186177,0.21022469188613918,0.009977342870642341,0.4848734510778311,0.0055398874371917,0.8745098619891596
stand,5,102527.950166355,263.23400000000004,lf_lower_leg_link,0.012739539621365835,0.14454750882755657,0.09742066334269588,0.009730278118594858,-0.5230113668655106,-0.005963171246065811,0.8522493017925536
stand,5,102527.950166355,263.23400000000004,lf_foot_link,0.2026478243279635,0.14675155460908396,0.000989415388566478,0.009730278118594858,-0.5230113668655106,-0.005963171246065811,0.8522493017925536
stand,5,102527.950166355,263.23400000000004,rh_hip_link,-0.19340032114409256,-0.04649965058517527,0.20779102288172793,-0.010144774913639446,-0.00034010419585438646,-4.275929500748532e-06,0.9999484825993807
stand,5,102527.950166355,263.23400000000004,rh_upper_leg_link,-0.193401796808131,-0.14197999353819582,0.20972857478967433,-0.008850750327063261,0.48802410405846963,-0.004957892191241242,0.8727711941749658
stand,5,102527.950166355,263.23400000000004,rh_lower_leg_link,-0.37486811005854714,-0.1442399699882333,0.09822131196905295,-0.008680288915636535,-0.5181941762855633,0.00525062478882836,0.8552028292676508
stand,5,102527.950166355,263.23400000000004,rh_foot_link,-0.18606205474686263,-0.14624326244482,-0.00035485298462381576,-0.008680288915636535,-0.5181941762855633,0.00525062478882836,0.8552028292676508
stand,5,102527.950166355,263.23400000000004,lh_hip_link,-0.19340016146574723,0.04650034897546434,0.20778198432348413,0.009111653278538434,-0.0003401234741358107,2.273752985874493e-06,0.999958430178667
stand,5,102527.950166355,263.23400000000004,lh_upper_leg_link,-0.19340118766016345,0.1419844917294124,0.20952223760694225,0.007962125906021848,0.48567834030510404,0.004430212375824505,0.8740901140773996
stand,5,102527.950166355,263.23400000000004,lh_lower_leg_link,-0.3742645612311027,0.14403268155949162,0.09703559387107978,0.007787122850078667,-0.5197142924441992,-0.004731062074844875,0.8542915380586343
stand,5,102527.950166355,263.23400000000004,lh_foot_link,-0.18511018233545876,0.1458191860776803,-0.0008747188963181274,0.007787122850078667,-0.5197142924441992,-0.004731062074844875,0.8542915380586343
stand,5,102527.950166355,263.23400000000004,d435_link,0.33999187372133716,0.01746975618217751,0.24941033653440384,0.00035967616044470994,-9.459908237951053e-05,-5.751927774752102e-07,0.9999999308418688
stand,5,102527.950166355,263.23400000000004,velodyne_base_link,0.19998457314150686,-5.7763767240849936e-05,0.2878712495341209,0.00035967616044470994,-9.459908237951053e-05,-5.751927774752102e-07,0.9999999308418688
stand,5,102527.950166355,263.23400000000004,gps_frame,-1.3531293111843682e-05,-5.032655850872943e-05,0.27783341275285783,0.00035967616044470994,-9.459908237951053e-05,-5.751927774752102e-07,0.9999999308418688
stand,6,102528.03971326,263.324,trunk,-2.5671891888733825e-07,2.3824331159808388e-08,0.20739508890287126,3.673346413103351e-05,0.00025877266871665377,4.3149359735446675e-07,0.9999999658435855
stand,6,102528.03971326,263.324,imu_link,-2.5671891888733825e-07,2.3824331159808388e-08,0.20739508890287126,3.673346413103351e-05,0.00025877266871665377,4.3149359735446675e-07,0.9999999658435855
stand,6,102528.03971326,263.324,rf_hip_link,0.19339796073902696,-0.04649988958704203,0.2069662540683094,-0.010616814928350416,0.0021144395526994523,2.266289161266734e-05,0.9999414042195415
stand,6,102528.03971326,263.324,rf_upper_leg_link,0.19340657678284753,-0.1419783605879316,0.20899393774582894,-0.009283297069331668,0.48890066056312304,-0.005151472445043119,0.8722748573861983
stand,6,102528.03971326,263.324,rf_lower_leg_link,0.011716053143678393,-0.14435502666331512,0.09785481287033511,-0.009026992279837288,-0.5227282265294522,0.005588441930382608,0.8524332724128876
stand,6,102528.03971326,263.324,rf_foot_link,0.20155928082995392,-0.1463886110332166,0.0012918104508400086,-0.009026992279837288,-0.5227282265294522,0.005588441930382608,0.8524332724128876
stand,6,102528.03971326,263.324,lf_hip_link,0.1933980532624235,0.04650010516483615,0.20699749734061806,0.011701770596482914,0.0021144187020521823,-2.4531226795111248e-05,0.9999292960988184
stand,6,102528.03971326,263.324,lf_upper_leg_link,0.1934074642019967,0.14197395114579325,0.20923236759159403,0.010231834336029564,0.4888832608363484,0.00567816898250189,0.8722707293249873
stand,6,102528.03971326,263.324,lf_lower_leg_link,0.011719888503662113,0.14459341144174623,0.09809388071769484,0.009955813955584284,-0.5218769084012055,-0.006149293077711724,0.8529405374589286
stand,6,102528.03971326,263.324,lf_foot_link,0.20137133627733064,0.14684377486448602,0.001159551288864108,0.009955813955584284,-0.5218769084012055,-0.006149293077711724,0.8529405374589286
stand,6,102528.03971326,263.324,rh_hip_link,-0.19339858021051123,-0.04650005432535902,0.2086020747935129,-0.010373189663358087,0.002114445011512183,2.214773052374424e-05,0.9999439612138169
stand,6,102528.03971326,263.324,rh_upper_leg_link,-0.19339016092506223,-0.14197950204648507,0.21058323404617116,-0.009056666982067925,0.4912526481670086,-0.005057700810633932,0.8709553559824909
stand,6,102528.03971326,263.324,rh_lower_leg_link,-0.3756776615198052,-0.14428132646205521,0.10042439994158633,-0.008858444486395476,-0.5166556848387037,0.005397361910731579,0.8561304221726594
stand,6,102528.03971326,263.324,rh_foot_link,-0.18722699278886312,-0.14632416946219706,0.001171328214120304,-0.008858444486395476,-0.5166556848387037,0.005397361910731579,0.8561304221726594
stand,6,102528.03971326,263.324,lh_hip_link,-0.19339848768711468,0.04649994042651916,0.20863331806582155,0.009091271014349122,0.0021144755389751733,-1.901114809152757e-05,0.9999564377627232
stand,6,102528.03971326,263.324,lh_upper_leg_link,-0.19339118507140532,0.14198415397663386,0.2103696675087321,0.007945661397412117,0.4896021979940998,0.004417922027126684,0.8718985239976417
stand,6,102528.03971326,263.324,lh_lower_leg_link,-0.37525848187155975,0.14401395285929827,0.09951315542621866,0.007754091076612653,-0.5184379818902668,-0.0047461185884564985,0.855066902273423
stand,6,102528.03971326,263.324,lh_foot_link,-0.18639736247210217,0.14579024441774815,0.0010381719660361999,0.007754091076612653,-0.5184379818902668,-0.0047461185884564985,0.855066902273423
stand,6,102528.03971326,263.324,d435_link,0.3400211611084212,0.017497274788401858,0.24872040351009195,3.673346413103351e-05,0.00025877266871665377,4.3149359735446675e-07,0.9999999658435855
stand,6,102528.03971326,263.324,velodyne_base_link,0.2000411201238055,-5.677112183992012e-06,0.28729156891523755,3.673346413103351e-05,0.00025877266871665377,4.3149359735446675e-07,0.9999999658435855
stand,6,102528.03971326,263.324,gps_frame,3.5971455683055313e-05,-5.11884483930424e-06,0.27739507933910146,3.673346413103351e-05,0.00025877266871665377,4.3149359735446675e-07,0.9999999658435855
stand,7,102528.144188624,263.42900000000003,trunk,-2.4466833074854023e-07,1.8972392614331786e-08,0.20751283125954426,-8.670837795345229e-05,0.0033816972577118093,7.13896738264607e-07,0.9999942782860334
stand,7,102528.144188624,263.42900000000003,imu_link,-2.4466833074854023e-07,1.8972392614331786e-08,0.20751283125954426,-8.670837795345229e-05,0.0033816972577118093,7.13896738264607e-07,0.9999942782860334
